# 대체당 제로 음료 티어 — 데이터 전문 (2026-09-03 기준)

제품 616개. 출처: 식품의약품안전처 품목제조보고 원재료(C002) + 공공데이터포털 전국통합식품영양성분정보(15100066).
열량·당류는 100mL(또는 100g)당 값이며 한 병 전체 기준이 아닙니다.
정본: https://zero-drinks-tier.vercel.app/  /  산출 코드: https://github.com/gulf1324/zero-drinks-tier

| 티어 | 제품명 | 제조사 | 감미료 | 열량 | 당류 | 용량 |
| A | 푸루티 소다(배) | (농) 솔티마을(주) | 알룰로오스(S,9) / 효소처리스테비아(A,3) | - | - | - |
| A | 풀무원 브리지톡 레몬토닉 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,8) / 효소처리스테비아(A,5) | - | - | - |
| A | 풀무원 브리지톡 진저에일 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,4) / 효소처리스테비아(A,1) | - | - | - |
| A | 풀무원 브리지톡 피치블랙티 제로 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,3) / 효소처리스테비아(A,5) | - | - | - |
| B | 1945 라임사이다 | (주)일화초정공장 | 알룰로오스(S,1) / 수크랄로스(B,3) / 아세설팜(B,4) | 1 | 0.00 | 350ml |
| B | 1945 레몬콜라 | (주)일화초정공장 | 알룰로오스(S,15) / 아세설팜(B,8) / 수크랄로스(B,9) | 0 | 0.00 | 350ml |
| B | 815 사이다 제로 | (주)상일 | 수크랄로스(B,3) / 아세설팜(B,7) | - | - | - |
| B | 815콜라 제로 | (주)일화초정공장 | 아세설팜(B,3) / 수크랄로스(B,4) | 0 | 0.00 | 250ml |
| B | HOT6글로우애플&포멜로 | 롯데칠성음료(주) | 알룰로오스(S,5) / 수크랄로스(B,6) / 아세설팜(B,7) | 3 | 0.05 | 355ml |
| B | HOT6글로우피치&살구 | 롯데칠성음료(주) | 알룰로오스(S,1) / 아세설팜(B,9) / 수크랄로스(B,10) | 3 | 0.05 | 355ml |
| B | HOT6더킹믹스 | 롯데칠성음료(주) | 알룰로오스(S,3) / 수크랄로스(B,4) / 아세설팜(B,5) | - | - | - |
| B | HOT6더킹아이스피치제로 | 롯데칠성음료(주) | 알룰로오스(S,6) / 수크랄로스(B,14) / 아세설팜(B,15) | - | - | - |
| B | N사이다 제로 | (주)일화초정공장 | 수크랄로스(B,1) / 아세설팜(B,9) | - | - | - |
| B | N콜라 제로 | (주)일화초정공장 | 아세설팜(B,3) / 수크랄로스(B,4) | - | - | - |
| B | TREVI토닉워터얼그레이 | 롯데칠성음료(주) | 알룰로오스(S,2) / 수크랄로스(B,3) / 아세설팜(B,4) | 3 | 0.11 | 300ml |
| B | TREVI토닉워터핑크 | 롯데칠성음료(주) | 알룰로오스(S,11) / 나한과(A,8) / 아세설팜(B,9) / 수크랄로스(B,10) | 2 | 0.03 | 300ml |
| B | Tealog 미니 스파클링 복숭아 아이스티 | (주)상일 | 효소처리스테비아(A,13) / 수크랄로스(B,9) / 아세설팜(B,12) | 1 | 0.00 | 190ml |
| B | Tealog 미니 스파클링 애플 아이스티 | (주)상일 | 효소처리스테비아(A,2) / 아세설팜(B,1) / 수크랄로스(B,4) | 2 | 0.14 | 190ml |
| B | Tealog 스파클링 골드애플 아이스티 | (주)상일 외 1곳 | 효소처리스테비아(A,14) / 수크랄로스(B,12) / 아세설팜(B,15) | 2 | 0.14 | 355ml |
| B | Tealog 스파클링 납작복숭아 아이스티 | (주)상일 외 1곳 | 효소처리스테비아(A,7) / 수크랄로스(B,5) / 아세설팜(B,8) | 1 | 0.00 | 355ml |
| B | Tealog 스파클링 레몬라임 아이스티 | 대경사과원예농협음료가공공장 | 수크랄로스(B,7) / 아세설팜(B,9) | 2 | 0.17 | 500.53g |
| B | V라인 슬림핏 | 튤립인터내셔널(주) | 수크랄로스(B,8) / 아세설팜(B,9) | 13 | 0.67 | 150ml |
| B | Woongjin 애사비 제주청귤하귤 | 튤립인터내셔널(주) | 알룰로오스(S,10) / 수크랄로스(B,1) / 아세설팜(B,2) | - | - | - |
| B | X-코카스 | 동아에코팩 주식회사 | 알룰로오스(S,27) / 수크랄로스(B,16) / 아세설팜(B,17) | 4 | 0.28 | 355ml |
| B | XS 크랜베리 | 오케이에프음료 주식회사 | 아세설팜(B,1) / 수크랄로스(B,2) | - | - | - |
| B | XS 클래식 블랙 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,4) | 3 | 0.00 | 250ml |
| B | Zero Cola | (주)상일 | 수크랄로스(B,9) / 아세설팜(B,10) | - | - | - |
| B | simplus 슈거제로 콜라라임 | 튤립인터내셔널(주) | 효소처리스테비아(A,10) / 수크랄로스(B,8) / 아세설팜(B,9) | 0 | 0.00 | 1500ml |
| B | woongjin 애사비 오리지널 | 튤립인터내셔널(주) | 알룰로오스(S,11) / 수크랄로스(B,1) / 아세설팜(B,2) | 2 | 0.00 | 500ml |
| B | 갈배사이다 제로 | 건강한사람들 주식회사 2사업장 외 2곳 | 아세설팜(B,7) / 수크랄로스(B,9) | 0 | 0.00 | 185ml |
| B | 갑 토닉워터 제로 | (주)일화초정공장 | 수크랄로스(B,2) / 아세설팜(B,3) | 2 | 0.00 | 250ml |
| B | 광동 위생천스파클링ZERO | 튤립인터내셔널(주) | 알룰로오스(S,2) / 수크랄로스(B,4) / 아세설팜(B,5) | 1 | 0.00 | 75g |
| B | 글루라이트 제로 레몬 유자 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,18) / 아세설팜(B,12) / 수크랄로스(B,13) | 1 | 0.20 | 500ml |
| B | 나랑드사이다 제로 | 동아에코팩 주식회사 외 6곳 | 수크랄로스(B,5) / 아세설팜(B,19) / 농축과즙(SUGAR,11) | 0 | 0.00 | 500ml |
| B | 나랑드사이다 제로 그린애플 | 대경사과원예농협음료가공공장 외 6곳 | 알룰로오스(S,4) / 아세설팜(B,14) / 수크랄로스(B,15) | 1 | 0.00 | 245ml |
| B | 나랑드사이다 제로 파인애플 | 동아오츠카(주) 외 6곳 | 알룰로오스(S,13) / 수크랄로스(B,7) / 아세설팜(B,8) / 농축과즙(SUGAR,11) | 0 | 0.00 | 500ml |
| B | 내일N 스파클링 | 튤립인터내셔널(주) | 알룰로오스(S,22) / 수크랄로스(B,11) / 아세설팜(B,12) / 벌꿀(SUGAR,3) / 올리고당(SUGAR,21) | 16 | 0.00 | 100ml |
| B | 널담 뉴트리션 에너지 드링크 자몽 | 오케이에프음료 주식회사 | 수크랄로스(B,12) | 10 | 0.00 | 355ml |
| B | 널담 제로 티스파클링 블랙티레몬 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,3) | - | - | - |
| B | 널담 제로 티스파클링 캐모마일피치 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,3) | - | - | - |
| B | 노슈가애디드 애플사이다 제로 | (유)삼각에프엠씨 웰빙랜드 | 수크랄로스(B,5) / 아세설팜(B,6) | 0 | 0.00 | 350ml |
| B | 노슈가애디드 체리콕 제로 | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,2) / 수크랄로스(B,3) | 0 | 0.00 | 350ml |
| B | 닥터 페퍼 제로 | 대경사과원예농협음료가공공장 외 4곳 | 아세설팜(B,6) / 수크랄로스(B,7) | 0 | 0.00 | 355ml |
| B | 닥터 페퍼 제로 스트로베리크림향 | 동아에코팩 주식회사 외 2곳 | 수크랄로스(B,7) / 아세설팜(B,8) | 0 | 0.00 | 350ml |
| B | 달심 클렌즈 스파클링 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,7) / 수크랄로스(B,8) / 올리고당(SUGAR,2) | 1 | 0.00 | 500ml |
| B | 달코니 머루포도 스파클링 | 농업회사법인(주)동의보굼 | 수크랄로스(B,5) | 26 | 5.25 | 340ml |
| B | 당쉼 스파클링 레몬 | 튤립인터내셔널(주) | 효소처리스테비아(A,10) / 아세설팜(B,8) / 수크랄로스(B,9) | 2 | 0.00 | 500ml |
| B | 당쉼 스파클링 애플 | 튤립인터내셔널(주) | 효소처리스테비아(A,10) / 수크랄로스(B,6) / 아세설팜(B,7) | 2 | 0.00 | 500ml |
| B | 당쉼 스파클링 체리 | 튤립인터내셔널(주) | 효소처리스테비아(A,6) / 수크랄로스(B,7) / 아세설팜(B,8) | 2 | 0.00 | 500ml |
| B | 더 빅토리아 오이레몬 | 튤립인터내셔널(주) | 알룰로오스(S,11) / 수크랄로스(B,3) / 아세설팜(B,5) | - | - | - |
| B | 더 빅토리아 쥬시 레몬 | 튤립인터내셔널(주) | 아세설팜(B,8) / 수크랄로스(B,9) | 0 | 0.00 | 500ml |
| B | 더 빅토리아 쥬시 자몽 | 튤립인터내셔널(주) | 수크랄로스(B,1) / 아세설팜(B,2) | 0 | 0.00 | 500ml |
| B | 더 빅토리아 쿨라임 | 튤립인터내셔널(주) | 알룰로오스(S,11) / 수크랄로스(B,4) / 아세설팜(B,7) | - | - | - |
| B | 딸기 모히토 zero | 프레시(FRESH) | 아세설팜(B,4) / 수크랄로스(B,5) | 3 | 0.00 | 500ml |
| B | 라이블링 애사비 소다 제로 사과맛 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,9) / 수크랄로스(B,10) | 4 | 0.00 | 500ml |
| B | 라이블링 애사비소다 제로 파인애플맛 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,9) / 수크랄로스(B,10) | 0 | 0.00 | 500ml |
| B | 라이블링 애사비소다 제로 푸룬맛 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,6) / 아세설팜(B,7) | 0 | 0.00 | 500ml |
| B | 라이크-리프레쉬(LikE Refresh) | (주)상일 | 수크랄로스(B,8) | - | - | - |
| B | 라인바싸 체리 | 동아에코팩 주식회사 | 아세설팜(B,1) | 0 | 0.00 | 500ml |
| B | 라인바싸 패션후르츠 | 동아에코팩 주식회사 | 아세설팜(B,1) | 0 | 0.00 | 500ml |
| B | 라임 스파클링에이드 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 수크랄로스(B,8) | 0 | 0.00 | 1500ml |
| B | 레모나 웰레몬 | 튤립인터내셔널(주) | 알룰로오스(S,5) / 수크랄로스(B,6) / 아세설팜(B,7) | 11 | 0.00 | 150ml |
| B | 레인보우 샤베트 스파클링 제로 | 오케이에프음료 주식회사 | 아세설팜(B,5) / 수크랄로스(B,14) | 1 | 0.00 | 350ml |
| B | 립톤제로복숭아스파클링 | 롯데칠성음료(주) | 스테비올배당체(A,1) / 수크랄로스(B,3) / 아세설팜(B,4) | 0 | 0.00 | 355ml |
| B | 마운틴듀제로슈거 | 롯데칠성음료(주) | 수크랄로스(B,6) / 아세설팜(B,7) / 아스파탐(B,9) | 0 | 0.00 | 355ml |
| B | 마운틴듀제로슈거블루 | 롯데칠성음료(주) | 수크랄로스(B,3) / 아스파탐(B,7) / 아세설팜(B,9) | 0 | 0.00 | 355ml |
| B | 맥스파워-엠피 | (주)상일 | 수크랄로스(B,11) | - | - | - |
| B | 맥콜 제로 | (주)일화초정공장 | 아세설팜(B,5) / 수크랄로스(B,6) | - | - | - |
| B | 모히토 zero | 프레시(FRESH) | 아세설팜(B,4) / 수크랄로스(B,5) | 0 | 0.00 | 500ml |
| B | 몬스터 에너지 울트라 피치 킨 | 해태에이치티비주식회사 외 1곳 | 수크랄로스(B,2) / 아세설팜(B,3) | 4 | 0.00 | 355ml |
| B | 몬스터 에너지 제로 슈거 | 해태에이치티비주식회사 외 1곳 | 아세설팜(B,10) / 수크랄로스(B,11) | 5 | 0.00 | 355ml |
| B | 무브 제로 슈거 | 오케이에프음료 주식회사 | 효소처리스테비아(A,4) / 수크랄로스(B,3) | - | - | - |
| B | 미소다 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,2) / 아세설팜(B,3) | - | - | - |
| B | 미에로 사이다 ENERGY | 오케이에프음료 주식회사 | 스테비올배당체(A,4) / 아세설팜(B,5) / 수크랄로스(B,6) | 7 | 0.00 | 355ml |
| B | 미에로화이바 SPARKLING ZERO SUGAR | 오케이에프음료 주식회사 외 1곳 | 스테비올배당체(A,11) / 아세설팜(B,9) / 수크랄로스(B,10) | 12 | 0.00 | 250ml |
| B | 밀키스제로 | 롯데칠성음료(주) | 알룰로오스(S,5) / 수크랄로스(B,8) / 아세설팜(B,9) | 3 | 0.33 | 300ml |
| B | 밀키스제로딸기&바나나 | 롯데칠성음료(주) | 알룰로오스(S,2) / 수크랄로스(B,10) / 아세설팜(B,11) | 4 | 0.43 | 250ml |
| B | 봉봉 애사비 소다 | 오케이에프음료 주식회사 외 2곳 | 알룰로오스(S,13) / 아세설팜(B,1) / 수크랄로스(B,2) | 6 | 0.00 | 500ml |
| B | 부기영화 메가 레몬C 2000 | 튤립인터내셔널(주) | 수크랄로스(B,12) / 아세설팜(B,13) | 12 | 0.00 | 120ml |
| B | 부르르 밀크소다 제로 | (주)일화초정공장 | 알룰로오스(S,4) / 수크랄로스(B,9) / 아세설팜(B,10) | 3 | 0.40 | 250ml |
| B | 부르르 밀크소다 제로 망고파인애플 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,8) / 아세설팜(B,2) / 수크랄로스(B,3) | 3 | 0.40 | 250ml |
| B | 부르르 밀크소다 제로 메론 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,14) / 아세설팜(B,8) / 수크랄로스(B,9) | 3 | 0.40 | 250ml |
| B | 부르르 제로사이다 | (주)일화초정공장 외 1곳 | 알룰로오스(S,10) / 아세설팜(B,6) / 수크랄로스(B,7) | 0 | 0.00 | 250ml |
| B | 부르르 제로사이다 자두 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,10) / 아세설팜(B,6) / 수크랄로스(B,7) | 0 | 0.00 | 250ml |
| B | 부르르 제로콜라 | (주)일화초정공장 | 알룰로오스(S,8) / 수크랄로스(B,4) / 아세설팜(B,5) | 0 | 0.00 | 250ml |
| B | 부르르 제로콜라 레몬 | (주)일화초정공장 | 알룰로오스(S,15) / 수크랄로스(B,13) / 아세설팜(B,14) | 0 | 0.00 | 210ml |
| B | 부르르 제로콜라 수박 | (주)일화초정공장 | 알룰로오스(S,6) / 수크랄로스(B,2) / 아세설팜(B,8) | 1 | 0.00 | 250ml |
| B | 부르르 제로콜라 체리 | (주)일화초정공장 | 알룰로오스(S,2) / 아세설팜(B,3) / 수크랄로스(B,4) | 50 | 13.00 | 250g |
| B | 부르르 제로콜라 카페인프리 | (주)일화초정공장 | 알룰로오스(S,11) / 수크랄로스(B,5) / 아세설팜(B,6) | - | - | - |
| B | 부르르 제로콜라 화이바 플러스 | (주)일화초정공장 | 아세설팜(B,7) / 수크랄로스(B,8) | 3 | 0.00 | 210ml |
| B | 브레드이발소밀크소다ZERO | (주)일화초정공장 | 알룰로오스(S,11) / 아세설팜(B,5) / 수크랄로스(B,6) | - | - | - |
| B | 블루이글 밸런스 | 오케이에프음료 주식회사 | 스테비올배당체(A,26) / 수크랄로스(B,24) / 아세설팜(B,25) | 4 | 0.00 | 355ml |
| B | 블루이글 포커스 | 오케이에프음료 주식회사 | 수크랄로스(B,6) / 아세설팜(B,7) | 3 | 0.00 | 355ml |
| B | 블링부스터 위글위글 스파클링제로버블 레몬맛 | 오케이에프음료 주식회사 | 아세설팜(B,6) / 아스파탐(B,7) / 수크랄로스(B,9) | 0 | 0.00 | 355ml |
| B | 블링부스터 위글위글 스파클링제로버블 수박맛 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,8) / 아스파탐(B,9) | 0 | 0.00 | 355ml |
| B | 블링부스터 위글위글 스파클링제로버블 알로에맛 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아스파탐(B,4) / 아세설팜(B,5) | 0 | 0.00 | 355ml |
| B | 블링부스터 위글위글 스파클링제로버블 애플망고맛 | 오케이에프음료 주식회사 | 아스파탐(B,4) / 아세설팜(B,5) / 수크랄로스(B,12) | 2 | 0.00 | 355ml |
| B | 비타500 ZERO Sparkling | (주)상일 | 알룰로오스(S,2) / 스테비올배당체(A,17) / 효소처리스테비아(A,18) / 수크랄로스(B,14) / 아세설팜(B,16) | - | - | - |
| B | 비타500 ZERO Sparkling Mini | (주)상일 | 알룰로오스(S,15) / 스테비올배당체(A,4) / 효소처리스테비아(A,5) / 수크랄로스(B,1) / 아세설팜(B,3) | - | - | - |
| B | 비타500 ZERO Sparkling Yuzu | (주)상일 | 알룰로오스(S,2) / 감초추출물(A,16) / 수크랄로스(B,11) / 아세설팜(B,13) | 0 | 0.00 | 250ml |
| B | 비타500ZERO 스파클링 | 튤립인터내셔널(주) | 알룰로오스(S,1) / 감초추출물(A,7) / 아세설팜(B,9) / 수크랄로스(B,10) | 11 | 0.00 | 150g |
| B | 사과좋아! 말랑 스파클링 제로 | (주)상일 | 알룰로오스(S,3) / 스테비올배당체(A,10) / 수크랄로스(B,9) | 1 | 0.00 | 340ml |
| B | 사이다스파클링 제로 | 오케이에프음료 주식회사 | 수크랄로스(B,1) / 아세설팜(B,2) | 0 | 0.00 | 500ml |
| B | 산토리니 스파클링티 쿨라임 | 오케이에프음료 주식회사 | 알룰로오스(S,10) / 아세설팜(B,5) / 수크랄로스(B,6) | - | - | - |
| B | 새로미 애사비소다 | 건강한사람들 주식회사 2사업장 | 알룰로오스(S,4) / 수크랄로스(B,7) / 아세설팜(B,8) | - | - | - |
| B | 셀렉스 프로핏 웨이프로틴 청포도 스파클링 | (주)삼양패키징광혜원공장 | 아세설팜(B,7) / 수크랄로스(B,8) | - | - | - |
| B | 셀렉스 프로핏 웨이프로틴 체리라임 스파클링 | (주)삼양패키징광혜원공장 | 수크랄로스(B,10) / 아세설팜(B,11) | - | - | - |
| B | 소다활 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,13) / 수크랄로스(B,4) / 아세설팜(B,5) / 올리고당(SUGAR,7) | 0 | 0.00 | 355ml |
| B | 소프트소다 딸기 제로 | 롯데칠성음료(주) | 알룰로오스(S,4) / 수크랄로스(B,1) / 아세설팜(B,2) | 1 | 0.03 | 420ml |
| B | 소프트소다 복숭아 제로 | 롯데칠성음료(주) | 알룰로오스(S,10) / 수크랄로스(B,6) / 아세설팜(B,7) | 1 | 0.03 | 420ml |
| B | 슈퍼주니어 프리미엄소다 스노우콜라 제로 | 건강한사람들 주식회사 2사업장 | 아스파탐(B,4) / 아세설팜(B,5) | - | - | - |
| B | 스파클링 딸기키위 | (주)상일 | 수크랄로스(B,7) / 아세설팜(B,8) | 1 | 0.00 | 1000ml |
| B | 스파클링 모히또 | (주)상일 | 수크랄로스(B,12) | - | - | - |
| B | 스파클링 백포도 | (주)상일 | 수크랄로스(B,1) / 아세설팜(B,3) | - | - | - |
| B | 스파클링 야쿠르트 제로 | 오케이에프음료 주식회사 | 알룰로오스(S,2) / 아세설팜(B,13) / 수크랄로스(B,14) | - | - | - |
| B | 스파클링 오렌지망고 | (주)상일 | 수크랄로스(B,1) / 아세설팜(B,3) | - | - | - |
| B | 스파클링 칼라만시 | (주)상일 | 수크랄로스(B,10) | - | - | - |
| B | 스파클링 프리미엄레시피 | 튤립인터내셔널(주) | 수크랄로스(B,5) / 아세설팜(B,6) | 11 | 0.00 | 120ml |
| B | 스파클링 프리미엄레시피 제로카페인 | 튤립인터내셔널(주) | 효소처리스테비아(A,5) / 수크랄로스(B,6) / 아세설팜(B,7) | 12 | 0.00 | 120ml |
| B | 스파클링 화이바 레몬 | (주)상일 | 효소처리스테비아(A,12) / 수크랄로스(B,11) / 아세설팜(B,13) | 4 | 0.00 | 500ml |
| B | 스파클링 화이바 애플 | (주)상일 | 효소처리스테비아(A,12) / 수크랄로스(B,11) / 아세설팜(B,13) | 3 | 0.00 | 500ml |
| B | 스파클링비타C1000 | 오케이에프음료 주식회사 | 스테비올배당체(A,8) / 수크랄로스(B,10) | 3 | 0.00 | 350ml |
| B | 스파클링에이드 노란맛 | (주)상일 | 아세설팜(B,1) / 수크랄로스(B,2) | 1 | 0.00 | 500ml |
| B | 스파클링에이드 레몬 | (주)상일 | 효소처리스테비아(A,1) / 아세설팜(B,2) / 수크랄로스(B,5) | 1 | 0.00 | 1000ml |
| B | 스파클링프리미엄레시피제로슈거 | (주)일화초정공장 | 아세설팜(B,1) / 수크랄로스(B,14) | 9 | 0.00 | 190ml |
| B | 스파클링프리미엄레시피제로슈거제로카페인 | (주)일화초정공장 | 수크랄로스(B,12) / 아세설팜(B,20) | 9 | 0.00 | 190ml |
| B | 스프라이트 제로 Chill | 대경사과원예농협음료가공공장 외 2곳 | 아세설팜(B,8) / 수크랄로스(B,10) | 0 | 0.00 | 350ml |
| B | 스프라이트 제로 with Tea | 건강한사람들 주식회사 2사업장 외 3곳 | 아세설팜(B,7) / 수크랄로스(B,9) | - | - | - |
| B | 스프레 | (주)일화초정공장 | 아세설팜(B,1) / 수크랄로스(B,11) | - | - | - |
| B | 싱하라임레몬소다제로 | 오케이에프음료 주식회사 | 수크랄로스(B,4) / 아세설팜(B,5) | 1 | 0.00 | 355ml |
| B | 싱하레몬소다제로 | 오케이에프음료 주식회사 | 수크랄로스(B,12) / 아세설팜(B,13) | 1 | 0.00 | 355ml |
| B | 싱하유자향소다제로 | 오케이에프음료 주식회사 | 수크랄로스(B,12) / 아세설팜(B,13) | 1 | 0.00 | 355ml |
| B | 써니텐 딸기크림향 | 오케이에프음료 주식회사 | 아세설팜(B,2) / 수크랄로스(B,3) | 34 | 8.40 | 250ml |
| B | 썬키스트 에너지 | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,12) / 수크랄로스(B,13) | - | - | - |
| B | 썬키스트 제로 복숭아레몬 소다 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,15) / 감초추출물(A,2) / 아세설팜(B,3) / 수크랄로스(B,6) | 0 | 0.00 | 600ml |
| B | 썬키스트 제로 오렌지 소다 | 오케이에프음료 주식회사 | 알룰로오스(S,14) / 감초추출물(A,6) / 아세설팜(B,7) / 수크랄로스(B,10) | 0 | 0.00 | 355ml |
| B | 썬키스트 제로 자두자몽 소다 | 오케이에프음료 주식회사 외 1곳 | 알룰로오스(S,2) / 감초추출물(A,18) / 수크랄로스(B,13) / 아세설팜(B,20) | 0 | 0.00 | 600ml |
| B | 썬키스트 제로 자몽 소다 | 오케이에프음료 주식회사 | 알룰로오스(S,15) / 감초추출물(A,8) / 아세설팜(B,10) / 수크랄로스(B,13) | 1 | 0.00 | 355ml |
| B | 아이스웨일 POP 라임사이다 | (주)상일 | 알룰로오스(S,8) / 수크랄로스(B,1) / 아세설팜(B,3) | - | - | - |
| B | 아이스웨일 POP 포도 | (주)상일 | 알룰로오스(S,2) / 수크랄로스(B,11) / 아세설팜(B,12) | - | - | - |
| B | 압도뉴트리션 에너지 드링크 | (주)상일 | 수크랄로스(B,17) / 아세설팜(B,19) | - | - | - |
| B | 애사비 매실 | 튤립인터내셔널(주) | 알룰로오스(S,13) / 수크랄로스(B,6) / 아세설팜(B,7) | 4 | 0.00 | 100ml |
| B | 애사비 밸런스 스파클링 제로 레몬 | (주)삼양패키징광혜원공장 | 수크랄로스(B,2) / 아세설팜(B,3) | - | - | - |
| B | 애사비 밸런스 스파클링 제로 청사과 | (주)삼양패키징광혜원공장 | 수크랄로스(B,2) / 아세설팜(B,3) | - | - | - |
| B | 애사비소다 | 오케이에프음료 주식회사 | 아세설팜(B,10) / 수크랄로스(B,12) | 11 | 0.00 | 350ml |
| B | 애플 민트 스파클링 제로 | 오케이에프음료 주식회사 | 아세설팜(B,8) / 수크랄로스(B,10) | 1 | 0.00 | 350ml |
